
央视频道,#genre#
CCTV-1,http://rihou.cc:555/tv/[mg]CCTV-01
CCTV-2,http://rihou.cc:555/tv/[mg]CCTV-02
CCTV-3,http://rihou.cc:555/tv/[mg]CCTV-03
CCTV-4,http://rihou.cc:555/tv/[mg]CCTV-04
CCTV-5,http://rihou.cc:555/tv/[mg]CCTV-05
CCTV-5+,http://rihou.cc:555/tv/[mg]CCTV-5p
CCTV-6,http://rihou.cc:555/tv/[mg]CCTV-06
CCTV-7,http://rihou.cc:555/tv/[mg]CCTV-07
CCTV-8,http://rihou.cc:555/tv/[mg]CCTV-08
CCTV-9,http://rihou.cc:555/tv/[mg]CCTV-09
CCTV-10,http://rihou.cc:555/tv/[mg]CCTV-10
CCTV-11,http://rihou.cc:555/tv/[mg]CCTV-11
CCTV-12,http://rihou.cc:555/tv/[mg]CCTV-12
CCTV-13,http://rihou.cc:555/tv/[mg]CCTV-13
CCTV-14,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV-15,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV-16,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV-17,http://rihou.cc:555/tv/[mg]CCTV-17
CCTV1,https://cdn16.163189.xyz/163189/cctv1
CCTV2,https://cdn16.163189.xyz/163189/cctv2
CCTV3,https://cdn16.163189.xyz/163189/cctv3
CCTV4,https://cdn16.163189.xyz/163189/cctv4
CCTV5,https://cdn16.163189.xyz/163189/cctv5
CCTV5+,https://cdn16.163189.xyz/163189/cctv5p
CCTV6,https://cdn16.163189.xyz/163189/cctv6
CCTV7,https://cdn16.163189.xyz/163189/cctv7
CCTV8,https://cdn16.163189.xyz/163189/cctv8
CCTV9,https://cdn16.163189.xyz/163189/cctv9
CCTV10,https://cdn16.163189.xyz/163189/cctv10
CCTV11,https://cdn16.163189.xyz/163189/cctv11
CCTV12,https://cdn16.163189.xyz/163189/cctv12
CCTV13,https://cdn16.163189.xyz/163189/cctv13
CCTV14,https://cdn16.163189.xyz/163189/cctv14
CCTV15,https://cdn16.163189.xyz/163189/cctv15
CCTV16,https://cdn16.163189.xyz/163189/cctv16
CCTV17,https://cdn16.163189.xyz/163189/cctv17
重温经典,https://cdn16.163189.xyz/163189/cwjd
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV2,http://198.204.228.26/live/cctv2hd.m3u8
CCTV3,http://198.204.228.26/live/cctv3hd.m3u8
CCTV4,http://198.204.228.26/live/cctv4hd.m3u8
CCTV5,http://198.204.228.26/live/cctv5hd.m3u8
CCTV5+,http://198.204.228.26/live/cctv5p.m3u8
CCTV6,http://198.204.228.26/live/cctv6hd.m3u8
CCTV7,http://198.204.228.26/live/cctv7hd.m3u8
CCTV8,http://198.204.228.26/live/cctv8hd.m3u8
CCTV9,http://198.204.228.26/live/cctv9hd.m3u8
CCTV10,http://198.204.228.26/live/cctv10hd.m3u8
CCTV11,http://198.204.228.26/live/cctv11hd.m3u8
CCTV12,http://198.204.228.26/live/cctv12hd.m3u8
CCTV13,http://198.204.228.26/live/cctv13hd.m3u8
CCTV14,http://198.204.228.26/live/cctv14hd.m3u8
CCTV15,http://198.204.228.26/live/cctv15hd.m3u8
CCTV16,http://198.204.228.26/live/cctv16hd.m3u8
CCTV17,http://198.204.228.26/live/cctv17hd.m3u8
CETV1,http://198.204.228.26/live/cetv1hd.m3u8
CETV2,http://198.204.228.26/live/cetv2.m3u8
CETV3,http://198.204.228.26/live/cetv3.m3u8
CETV4,http://198.204.228.26/live/cetv4.m3u8
CCTV1,http://58.56.162.102:4466/newlive/live/hls/1/live.m3u8
CCTV2,http://58.56.162.102:4466/newlive/live/hls/2/live.m3u8
CCTV3,http://58.56.162.102:4466/newlive/live/hls/3/live.m3u8
CCTV4,http://58.56.162.102:4466/newlive/live/hls/4/live.m3u8
CCTV5,http://58.56.162.102:4466/newlive/live/hls/5/live.m3u8
